CTYUA21CD,CTYUA21NM,HPT,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length,GlobalID
E06000054,Wiltshire,South West,405209,158863,-1.92661,51.3288,51,3258221478,348922.1067,d632debc-3406-4376-9441-446287af7b6c
E06000055,Bedford,East of England,505721,256463,-0.45463,52.1963,52,474719272.6,115792.6152,08b29b45-2901-46ad-bae5-7a7d3493f2b1
E06000056,Central Bedfordshire,East of England,504615,234492,-0.47754,51.999,53,709169827,200740.5685,f833c607-1ae5-4c1d-8963-c51fd4a18937
E06000057,Northumberland,North East,395322,600699,-2.07523,55.3004,54,5027331192,424724.6736,1d67b0c8-bfed-4808-bb90-b87ebb4ba65e
E06000058,"Bournemouth, Christchurch and Poole",South West,410815,94066,-1.84807,50.7461,55,162067754.7,94498.51643,9ffa814c-0934-4167-8df4-6a0bdd2717c0
E06000059,Dorset,South West,370871,99796,-2.41467,50.797,56,2487596229,388926.042,1d4b0db1-0b0b-4932-8937-3a46958a5cfa
E06000060,Buckinghamshire,Thames Valley,482506,208561,-0.80569,51.7697,57,1572439224,301381.0253,b1f6c940-2783-49a5-9994-5b9ef45565df
E06000061,North Northamptonshire,East Midlands,493590,281718,-0.62504,52.4255,58,993517603.3,173357.258,27101c83-d8e0-4572-a1d6-2c996e06fe45
E06000062,West Northamptonshire,East Midlands,467187,263879,-1.01682,52.269,59,1374390676,214647.4353,faa3536f-e3c9-4d0f-af46-c68b8bad5978
E08000001,Bolton,Greater Manchester,368352,409873,-2.47952,53.5845,60,138708159.8,64700.00737,1c9b38dc-75de-4aaa-b7b8-9ca5575edc5c
E08000002,Bury,Greater Manchester,379658,410768,-2.3088,53.5931,61,100752668.8,57024.34396,0feb84c0-0fdd-43d9-9a99-04ed6696249a
E08000003,Manchester,Greater Manchester,384591,397063,-2.23359,53.4701,62,111895372,69389.33424,6eae1b24-9de8-4017-8de6-c8c8d4e687f1
E08000004,Oldham,Greater Manchester,396603,406784,-2.05274,53.5577,63,144009083.7,60962.51615,977d5073-8aa1-4288-96da-881c9031668e
E08000005,Rochdale,Greater Manchester,390315,412326,-2.14784,53.6074,64,156240276.6,70324.19973,87aa0d9c-ac0a-4244-9ab2-280cbdc6b217
E08000006,Salford,Greater Manchester,374556,398128,-2.38485,53.4793,65,97966760.85,56607.45749,16f160f1-1ac2-48d7-8162-3b9e6a024f2b
E08000007,Stockport,Greater Manchester,391806,388264,-2.12467,53.3912,66,125536176,56951.00211,177e5761-28b0-479b-b7cd-ad55ca4094fd
E08000008,Tameside,Greater Manchester,394987,397995,-2.077,53.4787,67,102159712.5,43841.72151,f6d4cdb2-5155-4b80-80f8-6a0fca635813
E08000009,Trafford,Greater Manchester,375790,391162,-2.36572,53.4167,68,108001520.1,50772.15512,7de6b1e9-7e4c-4b83-bf66-fb238575e5b5
E08000010,Wigan,Greater Manchester,362136,402126,-2.57247,53.5145,69,188328606.7,71520.34717,173bd3aa-2fb2-4ed8-af70-f0ee706596d5
E08000011,Knowsley,Cheshire and Merseyside,344762,393778,-2.83297,53.4379,70,86257644.24,57788.90388,4cf7b853-e5ac-4e51-afa3-da475f44fcb8
E08000012,Liverpool,Cheshire and Merseyside,339361,390553,-2.91364,53.4083,71,112980859.1,54583.16614,b81f8a99-d6a7-4459-bf34-3c6b37e94d0b
E08000013,St. Helens,Cheshire and Merseyside,353412,395992,-2.7031,53.4586,72,135955079.3,64907.64177,0cd394ad-8059-40ca-8a17-971c808f58cc
E08000014,Sefton,Cheshire and Merseyside,334282,398832,-2.99177,53.4821,73,153196803.5,90597.9255,f9e06ea8-00e0-4d77-abf5-70c36c1b0b6e
E08000015,Wirral,Cheshire and Merseyside,329110,386965,-3.06701,53.3748,74,152733378.9,55500.41889,e067a47e-50d8-4ac6-8099-58e9381d9809
E08000016,Barnsley,Yorkshire and Humber,429979,403327,-1.54925,53.5258,75,327231730.6,106147.8816,ae038c45-0afa-4c02-b54e-3d5e97f06540
E08000017,Doncaster,Yorkshire and Humber,459167,403735,-1.10894,53.527,76,567273208.5,116245.9043,0b6cf5b5-59b4-4253-bb16-8ca649af6887
E08000018,Rotherham,Yorkshire and Humber,447542,388980,-1.28651,53.3955,77,289185192.3,88845.36325,337f0bf7-34f8-4291-8498-e401d9a8f256
E08000019,Sheffield,Yorkshire and Humber,430511,389736,-1.54254,53.4036,78,366749529.3,114173.7515,8d269c10-2e34-4a1f-a4fd-3a202f1c998c
E08000021,Newcastle upon Tyne,North East,422287,569661,-1.65297,55.021,79,113003066.4,53430.20428,5e31ed13-64b2-46cc-ac9a-1b8fe10ff1f6
E08000022,North Tyneside,North East,431471,570602,-1.50923,55.029,80,83783921.79,48717.70207,d6a763c9-ffad-4e08-8e12-c6ec247bc474
E08000023,South Tyneside,North East,435514,564057,-1.44679,54.9699,81,62186662.17,33704.08647,102fb83b-2e0e-4ea2-a237-aeb66eee9d55
E08000024,Sunderland,North East,436470,551524,-1.43344,54.8572,82,136397343.1,57291.27284,077a30c3-5703-4bd0-91a7-c0af63c1b141
E08000025,Birmingham,West Midlands,408150,287352,-1.88141,52.484,83,269026608.7,88776.34322,27eb2b57-77af-4680-addd-489bbdadd6f2
E08000026,Coventry,West Midlands,432807,279689,-1.51908,52.4142,84,99799013.66,43481.40573,67342918-f851-4139-bf75-b120704e5fe3
E08000027,Dudley,West Midlands,393191,288584,-2.10171,52.4951,85,97264778.32,60125.22376,625c9be8-f8e6-422c-a957-7937d2f1fb1d
E08000028,Sandwell,West Midlands,399573,290764,-2.00771,52.5148,86,85222122.5,48306.24859,0e547c1c-5a3d-4a05-96a6-0cadc93c48a5
E08000029,Solihull,West Midlands,419434,281483,-1.71558,52.431,87,177542587.9,82695.46077,758c0e5a-4443-48ec-9a3c-d92d93178770
E08000030,Walsall,West Midlands,402098,300804,-1.97044,52.605,88,104027261.8,49836.87283,cab134c9-6f87-4987-a1f8-ab1568f28b00
E08000031,Wolverhampton,West Midlands,391463,300016,-2.12746,52.5979,89,69466620.76,41126.96108,4c27dcee-2ff1-4030-ae99-bfd304c0302b
E08000032,Bradford,Yorkshire and Humber,408395,438626,-1.87389,53.8438,90,368386843.3,113226.1904,e4b080ce-1e56-456e-bc04-76dd4407e7a9
E08000033,Calderdale,Yorkshire and Humber,402617,424896,-1.96182,53.7205,91,367618489.6,94050.24566,5648fcc8-ce72-4c9b-b502-e8b74856e7cc
E08000034,Kirklees,Yorkshire and Humber,414586,416223,-1.78085,53.6423,92,405306353.7,106837.8084,8df0de40-20d3-4983-a9c3-4d147a039f22
E08000035,Leeds,Yorkshire and Humber,432528,436384,-1.50736,53.8227,93,550578568.4,133753.1008,628abf58-62fa-4f39-b6fb-4cac04b42e80
E08000036,Wakefield,Yorkshire and Humber,438366,418235,-1.42092,53.6592,94,337273075.1,90373.7395,905a5eb5-f37f-42bd-9717-bd9a10db29ba
E08000037,Gateshead,North East,420159,559652,-1.68694,54.9311,95,147498927.2,67931.20893,6bd31a29-62e7-4f23-b6ba-94fed99875a6
E09000001,City of London,North East and North Central London,532382,181358,-0.09351,51.5156,96,2677121.54,6902.164496,6031a3ba-8c9e-4887-b9aa-8bb0a9f1591f
E09000002,Barking and Dagenham,North East and North Central London,547757,185111,0.129479,51.5456,97,36394133.79,31246.036,6bdffcd8-ca17-4db8-b0d4-3f05d083bd51
E09000003,Barnet,North East and North Central London,523473,191752,-0.21819,51.6111,98,86664945.9,41943.78666,b04b6d4d-e65e-41e8-85b6-8ec4efe92231
E09000004,Bexley,South London,549202,175434,0.146212,51.4582,99,61697815.92,36621.99657,29b54411-b03f-4cda-98b8-a12bdb46ea35
E09000005,Brent,North West London,519615,186465,-0.27568,51.5644,100,44179370.12,33216.35683,ed73deb4-fa84-451e-8b47-ad0629dc2f00
E09000006,Bromley,South London,542036,165707,0.039246,51.3727,101,150198717.7,63022.47837,07c9b72e-1ee7-4e16-afb5-a1acb7789cf9
E09000007,Camden,North East and North Central London,527491,184283,-0.16291,51.543,102,21269432.25,22059.47041,0e8ded95-56b3-4c5a-9f96-b30a9b33d086
E09000008,Croydon,South London,533922,164744,-0.07761,51.366,103,85975622.96,46714.40728,25cb41b5-7015-495e-bbce-e81058b1c722
E09000009,Ealing,North West London,517055,181959,-0.3141,51.5244,104,54703293.5,39296.86323,d53dc6e5-0c01-46fe-b16e-b9054a122b79
E09000010,Enfield,North East and North Central London,532831,196198,-0.08144,51.6489,105,83007482.3,37695.48684,762c2dca-df79-4aca-85f8-3a91d2756c2f
